Year,mean_1,mean_2,mean_3,sd_1,sd_2,sd_3
2000,0,0,0,0,0,0
2001,2.7645,3.1276,3.2629,1.9579,2.139,1.7669
2002,5.866,6.1201,6.6657,3.5528,3.2317,4.41
2003,9.509,9.879,10.7065,4.2043,4.7308,6.4871
2004,13.0164,13.3171,13.6205,5.1623,5.7501,7.6533
2005,16.8932,16.8049,17.2963,6.1754,6.5362,9.5536
2006,20.7633,20.4148,20.9813,6.9474,8.6966,10.9341
2007,24.2225,24.2767,24.7315,8.0012,9.7637,13.6803
2008,27.9318,29.1714,28.0417,8.945,10.9872,15.7911
2009,31.3529,34.2988,30.6451,10.8621,12.7631,18.5156
2010,34.5385,38.7665,32.0684,12.4682,13.2583,18.904
2011,37.9606,41.9105,34.6981,13.1714,13.9476,19.5502
2012,40.8784,45.3105,37.6662,13.8119,16.2048,20.5371
2013,44.591,49.3333,41.8859,14.3764,17.6569,22.0432
2014,47.3897,52.6387,46.3252,14.9659,18.9465,22.9627
2015,50.211,55.6771,49.5404,14.9918,19.5121,24.1906
2016,53.0442,58.8202,54.2357,16.5466,19.441,25.7316
2017,55.862,61.9421,59.0411,16.9174,19.338,27.8433
2018,59.7732,65.8681,62.8645,18.0223,19.7756,29.8777
2019,63.2724,70.0914,66.5813,19.3793,21.2509,31.4799
2020,66.3222,73.6791,71.0795,20.2181,22.3857,35.6573
2021,69.5845,78.0615,74.4614,20.8875,24.2721,37.2344
2022,73.0608,81.7676,77.2179,23.0241,24.946,38.6362
2023,76.3917,85.1884,81.7368,24.3205,24.6947,40.2607
2024,79.2399,87.9349,85.8227,26.0538,25.5028,41.8602
2025,81.3381,91.6949,89.6783,27.5606,26.0885,44.3836
2026,84.5084,94.5611,93.7225,28.5202,26.1943,45.633
2027,87.6249,97.1337,99.1009,29.7242,26.25,46.1725
2028,90.8692,99.6397,104.1805,30.4775,26.3888,46.975
2029,94.3141,102.9086,109.5773,30.3542,28.2827,48.9966
2030,98.6669,107.6865,114.7409,30.4855,29.6505,50.5713
2031,103.0704,112.1369,119.0625,31.2282,30.4602,52.096
2032,107.1528,115.0363,123.443,32.2214,31.4801,54.1045
2033,111.2684,118.3952,127.7886,33.7232,33.1966,54.6595
2034,115.814,121.9903,133.4709,35.6754,34.8853,55.3699
2035,119.7548,126.4271,137.2329,36.5947,37.724,55.9799
2036,123.7195,130.5037,139.6262,38.0898,38.8745,56.4619
2037,126.6853,132.6901,143.3245,39.8812,40.1443,56.9913
2038,130.4423,134.8825,148.2528,40.2774,41.4586,57.877
2039,134.6952,138.3105,152.9156,42.1093,41.8405,57.5485
2040,138.5986,141.524,156.7519,44.4002,42.7918,57.931
2041,141.9369,144.9094,161.6519,45.4948,43.3119,59.6129
2042,145.9107,149.9053,165.2013,46.9449,44.7253,60.1228
2043,150.0791,155.3908,168.9603,47.9711,45.6817,61.1361
2044,154.8178,160.8179,173.6141,49.3175,48.0901,61.4613
2045,159.2814,165.34,178.6878,51.1408,49.536,62.4839
2046,163.4123,170.6237,183.0424,52.6085,52.341,63.4865
2047,167.7237,174.8985,187.6486,53.3673,54.6007,64.0435
2048,171.5657,179.4366,191.7981,54.2099,55.2746,63.8724
2049,174.0533,183.7067,195.6959,55.9073,56.1107,64.5006
2050,177.4829,188.3918,200.3436,57.6954,57.2584,64.8146
2051,181.1656,194.4879,206.4557,59.6081,57.6543,65.0949
2052,185.3957,200.3918,211.3879,61.2239,58.2178,66.2398
2053,189.5339,206.09,215.6248,62.6259,58.9191,67.1383
2054,193.8238,211.1748,220.8669,63.875,59.1837,66.8467
2055,197.9258,216.4707,226.0473,64.965,60.1157,67.0148
2056,202.5218,222.5718,230.8425,66.6122,60.2037,67.4161
2057,206.8702,229.4177,235.1372,69.2482,60.4445,67.8626
2058,210.706,235.1635,238.6048,71.0324,61.1954,67.4181
2059,214.7997,241.3543,244.3881,72.5022,61.334,68.9565
2060,218.5827,246.2198,249.7678,73.9398,62.4768,69.4082
2061,222.604,251.2744,255.413,74.8735,63.2604,70.1201
2062,226.7571,256.8109,260.0156,76.1776,64.273,69.9431
2063,231.1627,261.0066,264.1854,77.755,64.629,70.8146
2064,235.5481,266.5726,268.2155,79.1992,65.7421,72.0152
2065,240.0982,272.8263,273.031,81.0667,65.2105,73.6426
2066,244.4452,279.6332,278.1433,83.3373,64.7631,75.5385
2067,248.2266,285.1842,283.1856,86.3433,65.9113,78.2061
2068,253.3809,291.026,287.8632,88.2638,66.715,78.3441
2069,257.4551,296.6301,292.8772,90.1414,67.8737,79.4529
2070,261.5469,301.6026,296.775,91.3124,70.1335,79.0881
2071,265.811,306.3312,301.5712,92.2734,71.6092,80.2002
2072,269.3573,311.0776,306.3381,93.2156,72.8866,80.4425
2073,273.5477,316.1988,310.5822,94.8031,74.0835,81.3566
2074,277.4393,322.3543,315.9577,96.5006,74.8609,83.4837
2075,281.1378,327.821,321.2846,97.2943,74.8009,84.3493
2076,284.2486,333.55,326.8239,98.2841,76.3681,84.0378
2077,287.8805,339.0981,332.1733,99.1508,77.4099,85.1697
2078,291.5257,344.555,337.319,100.3609,78.9186,85.0679
2079,295.5195,351.3539,342.3433,102.3047,79.7925,85.7446
2080,298.6816,358.1681,347.6791,104.7537,81.8311,87.3426
2081,302.381,364.6623,354.8839,106.8766,83.371,91.0778
2082,305.8234,372.1758,362.0165,108.9226,84.2691,92.7003
2083,309.086,380.0691,367.8987,110.1392,84.9057,93.5813
2084,312.2941,385.7313,373.8371,110.8033,86.4265,94.7367
2085,315.697,391.5267,379.8657,112.1613,88.7838,95.2634
2086,320.1449,397.4161,385.2896,112.3148,91.1853,94.7711
2087,323.2499,403.5438,391.3528,113.2933,92.8084,97.2577
2088,326.9305,409.8986,396.7615,114.3016,92.944,98.1037
2089,330.1197,416.2625,402.1256,116.7417,93.265,98.7242
2090,333.0283,422.7558,407.6294,118.4762,94.5864,98.9431
2091,336.1353,429.9796,413.5364,120.5391,94.9595,100.6891
2092,338.9896,437.4741,420.7587,122.9886,97.176,102.0823
2093,342.7708,443.2499,426.6534,124.597,100.3926,104.2215
2094,345.7921,451.5295,434.0143,126.3002,103.3763,107.0392
2095,349.0953,456.0709,439.6595,127.4108,103.0564,107.1504
2096,352.2335,459.9819,442.2854,126.3696,103.1087,104.7034
2097,355.7915,464.9102,447.7535,128.3064,103.2566,104.5207
2098,357.7988,469.0028,451.5087,128.9086,99.8504,104.8572
2099,359.296,480.4882,457.5443,132.0585,103.2063,100.8414
2100,364.289,483.558,458.6808,135.9633,98.6971,106.1938
