,Optimal Height,Optimal Value,Scenario
0,[10. 10. 13. 14. 14. 18. 21.],3306548562.6219273,1
1,[11. 14. 14. 15. 15. 19. 19.],6701011256.2493305,1
2,[12. 12. 15. 20. 20. 21. 22.],11005462243.858109,1
3,[10. 14. 14. 22. 22. 22. 22.],5971058478.182963,1
4,[10. 12. 12. 14. 18. 19. 19.],4334743393.875027,1
5,[10. 13. 14. 14. 22. 22. 22.],6097564819.956244,1
6,[11. 12. 12. 16. 16. 19. 19.],7014564786.838889,1
7,[11. 14. 14. 19. 19. 19. 19.],9224201385.461458,1
8,[12. 13. 13. 16. 16. 28. 28.],13716405649.570107,1
9,[10. 11. 15. 16. 16. 17. 17.],2655506707.768406,1
10,[10. 13. 13. 15. 15. 17. 18.],5674440061.761808,1
11,[11. 12. 13. 15. 16. 16. 16.],7981371618.412961,1
12,[11. 11. 14. 15. 21. 21. 21.],6477642123.573857,1
13,[10. 10. 15. 15. 15. 21. 21.],4895939069.648548,1
14,[11. 13. 13. 13. 14. 17. 20.],6311432939.422472,1
15,[11. 12. 15. 19. 21. 21. 21.],8456599785.732944,1
16,[10. 12. 18. 18. 18. 18. 18.],3836836919.506374,1
17,[10. 11. 14. 19. 19. 19. 19.],5118474124.970708,1
18,[11. 13. 13. 15. 18. 18. 24.],7446665862.310524,1
19,[11. 13. 14. 14. 15. 22. 22.],9089643970.393005,1
20,[11. 11. 12. 15. 15. 16. 16.],7661855133.7251,1
21,[10. 15. 15. 15. 16. 17. 17.],2753574392.3355675,1
22,[12. 12. 12. 15. 17. 17. 17.],9739913751.166489,1
23,[12. 13. 13. 16. 22. 22. 25.],10267852009.62962,1
24,[14. 14. 15. 17. 17. 17. 25.],22824513949.25586,1
25,[12. 14. 15. 15. 15. 18. 24.],11337513719.390648,1
26,[10. 12. 12. 17. 17. 18. 18.],3782962210.761713,1
27,[12. 13. 14. 14. 18. 18. 18.],9034751151.039312,1
28,[11. 13. 13. 13. 18. 18. 18.],8742757283.357227,1
29,[12. 12. 15. 16. 18. 20. 20.],10124061789.537493,1
30,[13. 13. 14. 15. 15. 20. 20.],13526211898.37766,1
31,[12. 12. 12. 12. 17. 17. 17.],11280308915.431206,1
32,[12. 12. 17. 17. 17. 21. 21.],11008500232.765408,1
33,[12. 12. 14. 16. 16. 21. 21.],10170925212.880829,1
34,[11. 13. 13. 13. 13. 13. 19.],6721766240.44736,1
35,[11. 14. 14. 17. 17. 20. 21.],6358781765.936364,1
36,[10. 11. 13. 15. 21. 21. 21.],5844166885.151632,1
37,[12. 12. 12. 13. 27. 27. 27.],19088695237.72529,1
38,[11. 11. 13. 15. 15. 15. 19.],6316748291.136264,1
39,[12. 12. 14. 16. 16. 16. 16.],11541917202.349909,1
40,[10. 10. 15. 15. 18. 20. 20.],5474804436.957929,1
41,[12. 12. 14. 15. 16. 16. 18.],9367176734.427841,1
42,[11. 13. 13. 13. 14. 14. 18.],7666972051.762941,1
43,[11. 13. 13. 13. 18. 19. 20.],7083485875.298353,1
44,[10. 13. 14. 15. 20. 20. 22.],5757176231.462304,1
45,[12. 12. 12. 16. 22. 23. 23.],10309304592.6155,1
46,[10. 12. 12. 16. 17. 17. 20.],5337586415.290896,1
47,[11. 11. 15. 16. 18. 20. 20.],6023623743.389209,1
48,[11. 12. 12. 14. 15. 17. 17.],8674700524.159351,1
49,[ 9. 12. 12. 12. 20. 20. 22.],3471062003.1053386,1
50,[10. 14. 14. 14. 20. 20. 23.],5875873571.899721,1
