,Optimal Height,Optimal Value,Scenario
0,[18. 18. 18. 18. 22. 22. 22.],16538922926.186735,1
1,[19. 19. 19. 23. 23. 23. 23.],22258471519.651608,1
2,[20. 20. 20. 28. 28. 28. 28.],29533434146.98751,1
3,[18. 18. 18. 30. 30. 30. 30.],18083675230.57636,1
4,[18. 18. 18. 18. 26. 26. 26.],18350688981.749783,1
5,[18. 18. 18. 18. 30. 30. 30.],19139685434.972668,1
6,[19. 19. 19. 24. 24. 24. 24.],22847772938.096794,1
7,[20. 20. 20. 27. 27. 27. 27.],26450808333.151794,1
8,[18. 18. 18. 18. 18. 34. 34.],29006122914.937992,1
9,[18. 18. 18. 18. 23. 23. 23.],15422663598.07855,1
10,[19. 19. 19. 19. 23. 23. 23.],20522759633.888508,1
11,[19. 19. 19. 23. 23. 23. 23.],24582742768.58147,1
12,[19. 19. 19. 19. 29. 29. 29.],21864639947.118076,1
13,[18. 18. 18. 18. 22. 22. 22.],18802080184.879227,1
14,[19. 19. 19. 19. 22. 22. 22.],21654914805.65972,1
15,[19. 19. 19. 19. 29. 29. 29.],25322639897.629288,1
16,[18. 18. 18. 18. 22. 22. 22.],17104436534.61893,1
17,[19. 19. 19. 27. 27. 27. 27.],19510021283.1337,1
18,[19. 19. 19. 19. 26. 26. 26.],23442566026.34934,1
19,[20. 20. 20. 22. 22. 22. 22.],25729748829.44053,1
20,[19. 19. 19. 23. 23. 23. 23.],24006901972.206005,1
21,[18. 18. 18. 18. 24. 24. 24.],15452823102.212887,1
22,[20. 20. 20. 23. 23. 23. 23.],27552681724.614685,1
23,[20. 20. 20. 20. 30. 30. 30.],28304020220.18373,1
24,[23. 23. 23. 25. 25. 25. 25.],48110719458.646324,1
25,[20. 20. 20. 20. 20. 20. 20.],29987359448.149185,1
26,[18. 18. 18. 26. 26. 26. 26.],17196873554.72569,1
27,[20. 20. 20. 20. 26. 26. 26.],26335395715.542767,1
28,[19. 19. 19. 19. 26. 26. 26.],25767044910.32799,1
29,[20. 20. 20. 24. 24. 24. 24.],28187935034.332565,1
30,[21. 21. 21. 23. 23. 23. 23.],33911926900.62277,1
31,[20. 20. 20. 20. 20. 20. 20.],29988561781.231956,1
32,[20. 20. 20. 20. 20. 20. 20.],29372993825.669785,1
33,[20. 20. 20. 24. 24. 24. 24.],28167722731.994293,1
34,[19. 19. 19. 20. 20. 20. 20.],22222296407.1486,1
35,[19. 19. 19. 25. 25. 25. 25.],21733697642.493553,1
